episode,score,type
1039,2.0,test
1040,2.0,test
1041,2.0,test
1042,2.0,test
1043,2.0,test
1044,1.0,test
1045,1.0,test
1046,2.0,test
1047,3.0,test
1048,1.0,test
1049,3.0,test
1050,0,test
1051,0,test
1052,1.0,test
1053,1.0,test
1054,1.0,test
1055,0,test
1056,1.0,test
1057,0,test
1058,0,test
1059,1.0,test
1060,1.0,test
1061,1.0,test
1062,1.0,test
1063,0,test
1064,0,test
1065,3.0,test
1066,8.0,test
1067,0,test
1068,2.0,test
1069,2.0,test
1070,1.0,test
1071,3.0,test
1072,1.0,test
1073,1.0,test
1074,1.0,test
1075,1.0,test
1076,3.0,test
1077,1.0,test
1078,1.0,test
1079,3.0,test
1080,2.0,test
1081,1.0,test
1082,0,test
1083,4.0,test
1084,6.0,test
1085,2.0,test
1086,2.0,test
1087,3.0,test
1088,2.0,test
1089,2.0,test
1090,1.0,test
1091,1.0,test
1092,1.0,test
1093,2.0,test
1094,2.0,test
1095,2.0,test
1096,0,test
1097,0,test
1098,2.0,test
1099,2.0,test
1100,1.0,test
1101,2.0,test
1102,1.0,test
1103,1.0,test
1104,1.0,test
1105,1.0,test
1106,5.0,test
1107,2.0,test
1108,3.0,test
1109,1.0,test
1110,1.0,test
1111,3.0,test
1112,0,test
1113,1.0,test
1114,1.0,test
1115,2.0,test
1116,3.0,test
1117,2.0,test
1118,0,test
1119,2.0,test
1120,1.0,test
1121,2.0,test
1122,4.0,test
1123,2.0,test
1124,1.0,test
1125,3.0,test
1126,2.0,test
1127,1.0,test
1128,1.0,test
1129,2.0,test
1130,1.0,test
1131,1.0,test
1132,0,test
1133,1.0,test
1134,2.0,test
1135,1.0,test
1136,1.0,test
1137,0,test
1138,1.0,test
1139,0,test
1140,0,test
1141,1.0,test
1142,1.0,test
1143,2.0,test
1144,3.0,test
1145,3.0,test
1146,2.0,test
1147,2.0,test
1148,3.0,test
1149,0,test
1150,5.0,test
1151,4.0,test
1152,0,test
1153,2.0,test
1154,3.0,test
1155,1.0,test
1156,1.0,test
1157,0,test
1158,2.0,test
1159,0,test
1160,1.0,test
1161,1.0,test
1162,1.0,test
1163,1.0,test
1164,1.0,test
1165,0,test
1166,1.0,test
1167,1.0,test
1168,1.0,test
1169,0,test
1170,2.0,test
1171,2.0,test
1172,3.0,test
1173,0,test
1174,2.0,test
1175,1.0,test
1176,1.0,test
1177,1.0,test
1178,1.0,test
1179,1.0,test
1180,3.0,test
1181,4.0,test
1182,1.0,test
1183,1.0,test
1184,2.0,test
1185,1.0,test
1186,4.0,test
1187,0,test
1188,2.0,test
1189,4.0,test
1190,3.0,test
1191,1.0,test
1192,2.0,test
1193,2.0,test
1194,1.0,test
1195,0,test
1196,2.0,test
1197,0,test
1198,1.0,test
